gene_id	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant
XLOC_000113	Control	Vibrio	OK	573.833	1054.56	0.877941	2.565	5e-05	0.00484762	yes
XLOC_000122	Control	Vibrio	OK	49.5224	87.7098	0.824658	1.99699	0.00035	0.0226222	yes
XLOC_000309	Control	Vibrio	OK	26.545	148.15	2.48055	4.57567	5e-05	0.00484762	yes
XLOC_000409	Control	Vibrio	OK	140.514	279.181	0.990489	2.81037	5e-05	0.00484762	yes
XLOC_000541	Control	Vibrio	OK	96.5459	187.904	0.960706	2.41103	0.00025	0.0166885	yes
XLOC_000560	Control	Vibrio	OK	182.675	405.445	1.15023	3.50112	5e-05	0.00484762	yes
XLOC_000561	Control	Vibrio	OK	155.081	460.896	1.57142	4.57003	5e-05	0.00484762	yes
XLOC_000727	Control	Vibrio	OK	126.326	207.638	0.716912	2.10837	1e-04	0.0083102	yes
XLOC_000811	Control	Vibrio	OK	1028.8	1577.34	0.616531	2.566	0.00095	0.0471756	yes
XLOC_000843	Control	Vibrio	OK	57.0606	169.326	1.56923	3.88319	5e-05	0.00484762	yes
XLOC_000855	Control	Vibrio	OK	27.3368	76.1448	1.4779	2.57124	0.00025	0.0166885	yes
XLOC_001049	Control	Vibrio	OK	389.089	581.851	0.58055	1.80634	0.00085	0.0455421	yes
XLOC_001081	Control	Vibrio	OK	127.803	260.897	1.02956	2.90888	5e-05	0.00484762	yes
XLOC_001117	Control	Vibrio	OK	25.275	61.878	1.29171	2.21348	2e-04	0.0142877	yes
XLOC_001158	Control	Vibrio	OK	186.18	311.613	0.743058	2.21864	4e-04	0.02545	yes
XLOC_001176	Control	Vibrio	OK	6.12605	0.932145	-2.71633	-2.24459	0.00055	0.0315437	yes
XLOC_001226	Control	Vibrio	OK	57.3361	169.888	1.56706	3.33152	5e-05	0.00484762	yes
XLOC_001227	Control	Vibrio	OK	58.0873	144.327	1.31305	2.82495	1e-04	0.0083102	yes
XLOC_001237	Control	Vibrio	OK	471.281	813.681	0.787877	2.60452	5e-05	0.00484762	yes
XLOC_001311	Control	Vibrio	OK	1506.45	3019.53	1.00317	3.8686	5e-05	0.00484762	yes
XLOC_001448	Control	Vibrio	OK	1345.24	2257.31	0.746743	2.69186	5e-05	0.00484762	yes
XLOC_001471	Control	Vibrio	OK	3118.42	4710.22	0.59498	3.70871	5e-04	0.0299412	yes
XLOC_001639	Control	Vibrio	OK	2434.01	3775.69	0.633408	2.2479	6e-04	0.0334685	yes
XLOC_001682	Control	Vibrio	OK	507.163	1149.88	1.18096	4.03526	5e-05	0.00484762	yes
XLOC_001727	Control	Vibrio	OK	227.658	389.69	0.775461	2.41593	2e-04	0.0142877	yes
XLOC_001745	Control	Vibrio	OK	94.6311	330.352	1.80362	4.77232	5e-05	0.00484762	yes
XLOC_001765	Control	Vibrio	OK	677.966	1298.15	0.937168	3.09539	5e-05	0.00484762	yes
XLOC_001781	Control	Vibrio	OK	4671.8	7956.89	0.768225	5.11304	5e-05	0.00484762	yes
XLOC_001898	Control	Vibrio	OK	314.187	655.656	1.06132	3.5121	5e-05	0.00484762	yes
XLOC_001925	Control	Vibrio	OK	10.3018	21.6171	1.06927	2.17392	1e-04	0.0083102	yes
XLOC_001955	Control	Vibrio	OK	15.0448	72.4644	2.268	5.06341	5e-05	0.00484762	yes
XLOC_002105	Control	Vibrio	OK	608.288	1454.15	1.25735	6.51115	5e-05	0.00484762	yes
XLOC_002156	Control	Vibrio	OK	778.388	1369.02	0.814578	2.74747	5e-05	0.00484762	yes
XLOC_002188	Control	Vibrio	OK	2437.5	3976.39	0.706056	3.67528	5e-05	0.00484762	yes
XLOC_002269	Control	Vibrio	OK	473.041	877.498	0.891431	3.7413	2e-04	0.0142877	yes
XLOC_002299	Control	Vibrio	OK	106.276	279.534	1.3952	3.77177	0.00055	0.0315437	yes
XLOC_002328	Control	Vibrio	OK	95.0629	275.575	1.53549	3.89374	5e-04	0.0299412	yes
XLOC_002386	Control	Vibrio	OK	271.39	157.979	-0.780636	-2.27635	1e-04	0.0083102	yes
XLOC_002520	Control	Vibrio	OK	247.37	613.851	1.31122	4.7258	5e-05	0.00484762	yes
XLOC_002551	Control	Vibrio	OK	90.7967	30.9548	-1.55248	-2.70495	3e-04	0.0197032	yes
XLOC_002611	Control	Vibrio	OK	34.8779	101.862	1.54622	2.68119	0.00055	0.0315437	yes
XLOC_002622	Control	Vibrio	OK	717.615	1578.62	1.13738	4.87783	5e-05	0.00484762	yes
XLOC_003587	Control	Vibrio	OK	192.13	388.591	1.01617	3.07604	0.00015	0.0119765	yes
XLOC_003724	Control	Vibrio	OK	10.4114	56.3499	2.43625	3.36287	5e-05	0.00484762	yes
XLOC_004354	Control	Vibrio	OK	10.5203	45.2338	2.10422	3.01655	6e-04	0.0334685	yes
XLOC_004866	Control	Vibrio	OK	348.466	106.425	-1.71118	-5.33501	0.00025	0.0166885	yes
XLOC_004985	Control	Vibrio	OK	34.2619	7.43888	-2.20345	-2.86003	5e-05	0.00484762	yes
XLOC_005024	Control	Vibrio	OK	201.327	88.2869	-1.18927	-2.77024	0.001	0.0490602	yes
XLOC_005603	Control	Vibrio	OK	23.6192	6.06673	-1.96097	-2.43786	2e-04	0.0142877	yes
XLOC_006309	Control	Vibrio	OK	40.408	6.53468	-2.62845	-3.45806	5e-05	0.00484762	yes
XLOC_006390	Control	Vibrio	OK	259.238	514.179	0.987995	3.32451	5e-05	0.00484762	yes
XLOC_006421	Control	Vibrio	OK	67.0159	146.414	1.12748	2.94426	5e-05	0.00484762	yes
XLOC_006565	Control	Vibrio	OK	240.771	454.647	0.917084	2.97748	5e-05	0.00484762	yes
XLOC_006592	Control	Vibrio	OK	188.591	530.105	1.49102	4.53775	5e-05	0.00484762	yes
XLOC_006603	Control	Vibrio	OK	415.292	712.015	0.777781	3.04329	5e-04	0.0299412	yes
XLOC_006682	Control	Vibrio	OK	261.29	767.511	1.55454	5.38343	5e-05	0.00484762	yes
XLOC_006896	Control	Vibrio	OK	17.4209	73.7365	2.08156	3.54934	5e-05	0.00484762	yes
XLOC_007110	Control	Vibrio	OK	130.848	361.796	1.46729	4.23271	5e-05	0.00484762	yes
XLOC_007136	Control	Vibrio	OK	180.755	288.75	0.675789	2.05749	5e-04	0.0299412	yes
