gene_id	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant
XLOC_001563	Control	Vibrio	OK	11.1302	43.8718	1.97881	3.02421	5e-05	0.0214919	yes
XLOC_001902	Control	Vibrio	OK	68.7004	211.475	1.6221	3.76685	5e-05	0.0214919	yes
XLOC_001920	Control	Vibrio	OK	377.882	937.843	1.31141	4.97292	5e-05	0.0214919	yes
XLOC_001972	Control	Vibrio	OK	67.4815	12.0226	-2.48875	-4.80412	5e-05	0.0214919	yes
XLOC_002086	Control	Vibrio	OK	0	1870.28	Inf	NA	5e-05	0.0214919	yes
XLOC_002128	Control	Vibrio	OK	78.7095	211.308	1.42474	3.28734	5e-05	0.0214919	yes
XLOC_002859	Control	Vibrio	OK	692.299	39.902	-4.11686	-33.071	0.00015	0.0401804	yes
XLOC_002941	Control	Vibrio	OK	40.0541	9.83836	-2.02546	-3.15822	0.00015	0.0401804	yes
XLOC_003198	Control	Vibrio	OK	127.902	315.424	1.30225	3.22211	5e-05	0.0214919	yes
XLOC_003259	Control	Vibrio	OK	126.305	233.506	0.886551	2.2185	2e-04	0.0473923	yes
XLOC_003813	Control	Vibrio	OK	57.5692	7.7295	-2.89685	-4.99234	1e-04	0.0330054	yes
XLOC_003898	Control	Vibrio	OK	196.92	30.1055	-2.70951	-9.62582	0.00015	0.0401804	yes
XLOC_004193	Control	Vibrio	OK	3737.16	816.127	-2.19508	-66.8991	1e-04	0.0330054	yes
XLOC_004329	Control	Vibrio	OK	329.076	44.3954	-2.88994	-13.6958	1e-04	0.0330054	yes
XLOC_004437	Control	Vibrio	OK	58.098	146.998	1.33923	3.0442	5e-05	0.0214919	yes
XLOC_004796	Control	Vibrio	OK	11227.2	2405.33	-2.22269	-152.621	2e-04	0.0473923	yes
XLOC_004822	Control	Vibrio	OK	47.1062	10.5079	-2.16444	-3.11333	5e-05	0.0214919	yes
XLOC_004841	Control	Vibrio	OK	12.9446	31.7121	1.29269	2.33046	5e-05	0.0214919	yes
XLOC_004915	Control	Vibrio	OK	14.6732	86.3765	2.55745	4.27849	5e-05	0.0214919	yes
