gene_id	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant
XLOC_000083	Control	Vibrio	OK	157.067	264.339	0.751007	2.06372	2e-04	0.0240678	yes
XLOC_000109	Control	Vibrio	OK	105.227	184.945	0.813595	2.38601	1e-04	0.0144898	yes
XLOC_000128	Control	Vibrio	OK	461.385	775.475	0.749109	2.95705	2e-04	0.0240678	yes
XLOC_000137	Control	Vibrio	OK	15.0353	36.8871	1.29476	2.58844	1e-04	0.0144898	yes
XLOC_000184	Control	Vibrio	OK	201.091	383.317	0.930687	2.55792	5e-05	0.00797753	yes
XLOC_000420	Control	Vibrio	OK	37.7802	71.9618	0.929599	2.23824	3e-04	0.0325191	yes
XLOC_000598	Control	Vibrio	OK	6.88952	1.25405	-2.4578	-2.39536	0.00055	0.047622	yes
XLOC_000647	Control	Vibrio	OK	54.4445	101.949	0.904992	2.25796	4e-04	0.0411594	yes
XLOC_000776	Control	Vibrio	OK	8.93549	24.2715	1.44164	2.82618	5e-05	0.00797753	yes
XLOC_000836	Control	Vibrio	OK	27.462	63.1615	1.20161	2.92656	5e-05	0.00797753	yes
XLOC_000859	Control	Vibrio	OK	60.2867	146.582	1.28179	3.4245	5e-05	0.00797753	yes
XLOC_000861	Control	Vibrio	OK	55.9938	166.428	1.57156	3.90741	5e-05	0.00797753	yes
XLOC_001123	Control	Vibrio	OK	39.3725	76.4875	0.958034	2.42252	5e-05	0.00797753	yes
XLOC_001132	Control	Vibrio	OK	755.116	129.298	-2.546	-21.4603	5e-05	0.00797753	yes
XLOC_001247	Control	Vibrio	OK	346.433	563.903	0.702871	2.63949	0.00045	0.0420395	yes
XLOC_001292	Control	Vibrio	OK	21.6563	60.7382	1.48782	3.23082	5e-05	0.00797753	yes
XLOC_001604	Control	Vibrio	OK	36.4459	65.2431	0.840068	2.01461	3e-04	0.0325191	yes
XLOC_001646	Control	Vibrio	OK	46.1472	96.1862	1.05959	2.60641	5e-05	0.00797753	yes
XLOC_001711	Control	Vibrio	OK	14.5807	36.9924	1.34317	2.52929	5e-05	0.00797753	yes
XLOC_001745	Control	Vibrio	OK	29.379	59.0916	1.00817	2.35386	5e-05	0.00797753	yes
XLOC_001872	Control	Vibrio	OK	12.9595	53.4554	2.04432	3.20265	1e-04	0.0144898	yes
XLOC_001887	Control	Vibrio	OK	159.505	298.14	0.902394	2.71029	5e-05	0.00797753	yes
XLOC_001946	Control	Vibrio	OK	13.545	31.2079	1.20414	2.45906	5e-05	0.00797753	yes
XLOC_001996	Control	Vibrio	OK	386.428	815.051	1.07669	3.02347	5e-05	0.00797753	yes
XLOC_002000	Control	Vibrio	OK	70.261	16.6144	-2.08029	-4.46425	5e-05	0.00797753	yes
XLOC_002110	Control	Vibrio	OK	8.75502	22.6107	1.36882	2.28044	3e-04	0.0325191	yes
XLOC_002219	Control	Vibrio	OK	483.769	829.208	0.777415	2.6336	5e-05	0.00797753	yes
XLOC_002225	Control	Vibrio	OK	396.148	683.94	0.78783	2.09943	0.00015	0.0199065	yes
XLOC_002249	Control	Vibrio	OK	1083.35	1695.27	0.646015	3.70185	0.00045	0.0420395	yes
XLOC_002358	Control	Vibrio	OK	776.448	1278.24	0.719196	2.2666	0.00025	0.028629	yes
XLOC_002440	Control	Vibrio	OK	388.42	805.708	1.05264	3.43016	5e-05	0.00797753	yes
XLOC_002491	Control	Vibrio	OK	186.999	416.936	1.15679	3.63547	5e-05	0.00797753	yes
XLOC_002557	Control	Vibrio	OK	27.2786	120.347	2.14136	4.56177	5e-05	0.00797753	yes
XLOC_002575	Control	Vibrio	OK	2391.54	6255.41	1.38717	13.9778	5e-05	0.00797753	yes
XLOC_002581	Control	Vibrio	OK	238.375	477.592	1.00254	3.09141	5e-05	0.00797753	yes
XLOC_002595	Control	Vibrio	OK	108.389	183.747	0.761498	2.16341	5e-05	0.00797753	yes
XLOC_002597	Control	Vibrio	OK	1691.79	2905.27	0.780122	4.84336	5e-05	0.00797753	yes
XLOC_002713	Control	Vibrio	OK	32.2425	66.6998	1.04872	2.66547	5e-05	0.00797753	yes
XLOC_002732	Control	Vibrio	OK	168.591	266.697	0.661675	1.90117	0.00045	0.0420395	yes
XLOC_002768	Control	Vibrio	OK	4.38881	25.8445	2.55796	4.64123	5e-05	0.00797753	yes
XLOC_002784	Control	Vibrio	OK	328.438	790.633	1.26739	5.54638	5e-05	0.00797753	yes
XLOC_002923	Control	Vibrio	OK	238.693	532.734	1.15826	5.30514	0.00015	0.0199065	yes
XLOC_002966	Control	Vibrio	OK	55.1365	160.388	1.54049	3.87676	5e-05	0.00797753	yes
