column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	17523485	11	35	585752132	33.43	32	34	35	3	28	35	1756582	7338782	6385884	2042237	0	17523485
2	17523485	11	35	589549941	33.64	32	35	35	3	28	35	1878914	5580680	4362303	5701588	0	17523485
3	17523485	11	35	590946813	33.72	32	35	35	3	28	35	2856455	6627421	4195559	3844050	0	17523485
4	17523485	11	38	650920453	37.15	36	38	38	2	33	38	3942086	5516329	4780382	3284688	0	17523485
5	17523485	11	38	652357352	37.23	36	38	38	2	33	38	4689940	4191836	4858579	3783130	0	17523485
6	17467113	7	38	648508787	37.13	36	38	38	2	33	38	5107476	4111373	4392142	3856122	0	17523485
7	17412069	6	38	646066060	37.10	36	38	38	2	33	38	4283681	3645285	3462877	6020226	0	17523485
8	17366687	6	38	644439068	37.11	36	38	38	2	33	38	3765187	4562350	3950233	5088917	0	17523485
9	17310808	6	40	672898394	38.87	39	40	40	1	38	40	3516411	4760737	3797852	5235808	0	17523485
10	17260104	6	40	671152851	38.88	39	40	40	1	38	40	5500443	3690573	3883144	4185944	0	17523485
11	17204022	6	40	669089458	38.89	39	40	40	1	38	40	4469642	4611287	4562827	3560266	0	17523485
12	17141617	6	40	666455869	38.88	39	40	40	1	38	40	3729474	4834554	4240596	4336993	0	17523485
13	17085021	6	40	662470829	38.77	39	40	40	1	38	40	4197018	4430015	4151412	4306576	0	17523485
14	17020675	6	42	684075204	40.19	40	42	42	2	37	42	4090828	4425581	4063916	4440350	0	17523485
15	16958440	6	42	681079284	40.16	39	42	42	3	35	42	4059734	4525374	4122289	4251043	0	17523485
16	16878580	6	42	676974651	40.11	39	41	42	3	35	42	3995867	4546711	4261044	4074958	0	17523485
17	16825656	6	42	675083563	40.12	39	41	42	3	35	42	4137862	4461380	4163407	4063007	0	17523485
18	16727990	6	42	671243067	40.13	39	41	42	3	35	42	4022163	4532636	4080942	4092249	0	17523485
19	16673064	6	42	669789264	40.17	40	41	42	2	37	42	3987171	4554742	4185370	3945781	0	17523485
20	16606797	6	42	667000001	40.16	40	41	42	2	37	42	3965718	4411523	4171758	4057798	0	17523485
21	16552104	6	42	664241092	40.13	40	41	42	2	37	42	3917871	4509078	4069880	4055275	0	17523485
22	16497473	6	42	660526804	40.04	40	41	42	2	37	42	4024152	4450907	4185128	3837286	0	17523485
23	16448853	6	42	658711460	40.05	39	41	42	3	35	42	4058722	4337371	4113408	3939352	0	17523485
24	16395439	6	42	657105914	40.08	39	41	42	3	35	42	3961668	4451225	4036796	3945750	0	17523485
25	16344650	6	42	654784438	40.06	39	41	42	3	35	42	3960052	4429711	4144505	3810382	0	17523485
26	16294567	6	42	652154262	40.02	39	41	42	3	35	42	3972276	4363547	4078152	3880592	0	17523485
27	16243130	6	42	649501947	39.99	39	41	42	3	35	42	3883332	4418966	3987925	3952907	0	17523485
28	16188457	6	42	646990295	39.97	39	41	42	3	35	42	3899308	4386865	4095851	3806433	0	17523485
29	16138183	6	42	644307312	39.92	39	41	42	3	35	42	3912407	4308651	4047447	3869678	0	17523485
30	16084523	6	42	641752293	39.90	39	41	42	3	35	42	3852269	4391068	3959144	3882042	0	17523485
31	16030672	6	42	638439030	39.83	39	41	42	3	35	42	3858884	4372886	4054145	3744757	0	17523485
32	15979627	6	42	635912626	39.80	39	41	42	3	35	42	3902587	4247164	3979020	3850856	0	17523485
33	15926410	6	42	633172377	39.76	39	41	42	3	35	42	3807710	4325737	3900990	3891973	0	17523485
34	15877983	6	42	630478456	39.71	39	41	42	3	35	42	3851136	4321854	4019980	3685013	0	17523485
35	15827466	6	42	627478091	39.64	39	41	42	3	35	42	3862869	4199221	3992163	3773213	0	17523485
36	15776615	6	42	624652550	39.59	39	41	42	3	35	42	3772113	4331273	3914406	3758823	0	17523485
37	15724567	6	42	621695224	39.54	39	41	42	3	35	42	3790071	4325756	3990766	3617974	0	17523485
38	15674610	6	42	618811553	39.48	39	41	42	3	35	42	3807692	4222259	3930326	3714333	0	17523485
39	15625511	6	42	615716541	39.40	38	41	42	4	32	42	3745580	4294937	3842987	3742007	0	17523485
40	15576276	6	42	612337570	39.31	38	41	42	4	32	42	3779505	4279388	3932900	3584483	0	17523485
41	15531192	6	42	609344995	39.23	38	41	42	4	32	42	3783560	4180785	3886467	3680380	0	17523485
42	15482311	6	42	606121704	39.15	38	41	42	4	32	42	3726841	4250940	3819954	3684576	0	17523485
43	15436728	6	42	603407206	39.09	38	41	42	4	32	42	3746186	4228334	3900641	3561567	0	17523485
44	15395212	6	42	600328645	38.99	37	41	42	5	30	42	3735518	4145215	3836365	3678114	0	17523485
45	15369872	6	42	598209957	38.92	37	41	42	5	30	42	3663149	4248042	3801239	3657442	0	17523485
46	15324021	6	42	595193804	38.84	37	41	42	5	30	42	3674216	4211559	3906754	3531492	0	17523485
47	15262194	6	42	591187463	38.74	37	40	42	5	30	42	3683512	4113707	3853463	3611512	0	17523485
48	15192364	6	42	586844531	38.63	36	40	42	6	27	42	3629757	4222966	3736193	3603448	0	17523485
49	15148606	6	42	583336809	38.51	36	40	42	6	27	42	3606434	4175988	3889680	3476504	0	17523485
50	15144185	6	42	581289505	38.38	36	40	42	6	27	42	3670781	4051326	3864275	3557803	0	17523485
51	15144185	6	42	578961839	38.23	36	40	42	6	27	42	3631895	4154428	3796390	3561472	0	17523485
