Control_1	Control_2	Control_3	Treat_1	Treat_2	Treat_3
comp25796_c0	3.41101941345205	3.35839626195665	3.72334012025117	5.17564435497738	5.66777861210685	5.42448545241443
comp11731_c0	2.64293256935849	3.34198574722862	3.17456621196635	4.84272746929254	5.47239028877472	5.14225004299946
comp20944_c0	3.16317666619361	3.46767075516497	3.80951734320822	5.46829005650355	5.89641717678368	5.62263756653746
comp30028_c0	3.52644446459013	3.69365421679357	3.71204544855369	5.63459326844576	6.23291013730364	5.98913900736823
comp30363_c0	3.3547342399706	3.27336668911861	2.66038103524241	4.92019800677058	5.3502850704471	5.46499492726543
comp30505_c0	3.14274017211608	3.25126462889425	2.86175690551042	4.73058561609717	5.28266219717201	4.98322165074267
comp31577_c0	2.93809756107409	2.14665522211947	2.84116804354865	4.91135603237882	5.67267991275254	5.36187361056818
comp11093_c0	3.71468512916976	3.37448310432147	3.42599632135108	5.40258575823259	5.93465802783973	5.78212020679743
comp15846_c0	4.43629511983936	5.79755777776096	4.71083397892643	2.98093926608551	2.20851725980554	3.86789646399265
comp33855_c0	3.35035579946003	3.64973041026389	5.75763668829481	2.66698377006666	1.32423456227053	2.53704751940466
comp32780_c0	4.51607820047894	5.52089364047342	4.95442898437188	2.79555917143856	1.97195733541501	4.00468115611791
comp14588_c0	2.94785314338702	2.83430670296291	2.18935017019567	4.599198754543	5.10567807789454	4.90948511231697
comp6511_c0	2.43882511317562	1.74329952788826	2.59048225892091	3.99584627791674	4.78460867398153	4.81716274943467
comp30779_c0	3.51601514700366	3.60573136581573	3.48684306443981	5.12837589493676	5.92626040885304	5.60774456669198
comp4247_c0	2.91034891538093	3.05952833525963	2.76892533556375	4.52443985109747	5.03531598463736	4.77352167630252
comp30130_c0	3.88322978903273	3.65099426933805	3.27306824165357	5.78494886744283	6.47297508612399	6.7951175473263
comp31562_c0	2.65741135079085	2.2862897581341	2.21847121074326	4.6833595990205	5.20906339534927	4.88450024029394
comp26546_c0	3.44863669708433	3.82323984413102	3.45338588036645	5.24637008108084	5.92079348753259	5.56355475598621
comp28990_c0	4.6922597964719	4.1991226420136	4.75547514711243	6.65725412985468	7.42177872247431	7.23772622649729
comp31634_c0	4.40115258344841	5.8675999893454	6.02061331726138	2.43001758672766	2.05727696507325	3.88762274684317
comp20470_c0	2.90245953304255	2.88830489520849	2.63412855752504	5.26250832736125	5.20906339534927	4.95680011805158
comp5770_c0	3.51866102310956	3.81465295677914	3.49082681491283	5.69423947166446	6.39331322560509	6.15009251218038
comp29014_c0	5.68706068833989	5.96523018337213	5.38694886483577	7.68338767329862	8.0058153989488	7.84099187340676
