Control_1	Control_2	Control_3	Treat_1	Treat_2	Treat_3
comp30028_c0_seq1	3.52694518304753	3.69253878837796	3.71127463104986	5.63502879902745	6.23342794374847	5.98957047945571
comp33855_c0_seq1	3.35078010073486	3.64869551958324	5.75686317530798	2.66721091248087	1.32481060342048	2.53754457196457
comp25796_c0_seq1	3.41142624572647	3.35727047567956	3.72257531541019	5.17608336753868	5.66831771991572	5.42492208821069
comp14588_c0_seq1	2.94841395779287	2.83329492436692	2.18903382439002	4.59961534862161	5.10618078829194	4.90991707849842
comp5770_c0_seq1	3.51903860960006	3.81362729553809	3.49005662446431	5.6946852208358	6.393828026453	6.15053936822523
comp28990_c0_seq1	4.69276194306377	4.19810120932482	4.7547271938083	6.6577114522818	7.42229187812717	7.23816586275513
comp20470_c0_seq1	2.90284538355057	2.8873302987782	2.63366369686663	5.26295926351023	5.20957033616055	4.95726458959253
comp6511_c0_seq1	2.43935717847426	1.74243744537627	2.58976348698498	3.99629834918948	4.78507968972467	4.81762325751143
comp15846_c0_seq1	4.43676150473669	5.79644201431254	4.71006251370151	2.98130469036327	2.20882936257385	3.86839045305445
comp29014_c0_seq1	5.6875366543765	5.96412134193596	5.38615565413174	7.68384380376525	8.00633168938438	7.84143854867302
comp31562_c0_seq1	2.65764000520782	2.28540221886225	2.21785109681113	4.6838087219258	5.20957033616055	4.88493975135321
comp30779_c0_seq1	3.51639342652536	3.6046644151637	3.48607074373567	5.12882952723714	5.92678224784626	5.60815870072063
comp31577_c0_seq1	2.93866217984363	2.14567745519564	2.84036251865844	4.9118353649106	5.67318891959337	5.36229453839559
comp4247_c0_seq1	2.91092449689301	3.05866283937856	2.76829020676596	4.5248785983708	5.03584381599453	4.77394359406561
comp11093_c0_seq1	3.71523445524002	3.37336980626997	3.42519072149345	5.40302907156929	5.93517683868763	5.78256582689082
comp30505_c0_seq1	3.14323013477689	3.2502036564993	2.86096279785812	4.73102027735633	5.28318097894557	4.98363209678909
comp26546_c0_seq1	3.44916515681218	3.82211827472934	3.45259543470287	5.24682608899958	5.92131730736439	5.56398176932067
comp20944_c0_seq1	3.16349873228288	3.4666271200415	3.80879689623151	5.46874621375412	5.89692570944626	5.62307672083263
comp30130_c0_seq1	3.88371855654118	3.64984535230601	3.27232185276999	5.78539361480915	6.4734784717397	6.79555917143856
comp32780_c0_seq1	4.5165194976611	5.51976204093239	4.95363773967297	2.79597469420667	1.97232504155715	4.00513046785373
comp30363_c0_seq1	3.35515725567247	3.27232185276999	2.65969626580899	4.92062677769317	5.35081545354226	5.46541947506045
comp31634_c0_seq1	4.40163046658474	5.86648766648248	6.01983532643416	2.43055290956901	2.05762355847813	3.88801258540283
comp11731_c0_seq1	2.64339445347989	3.34098945998079	3.17376706773671	4.84317989025717	5.47291012034558	5.14269933438228
